BACTERIAL_STRAIN_NAME	Curie	Name	Sample	Category	Xrefs	Supplier	Catalog/Product ID	Supplier_Catalog_id	Strain Name
ENTECL SS13677	NBT:SS13677ENTECL	ENTECL SS13677	Wound	Quinolone S					
ENTECL SS6710	NBT:SS6710ENTECL	ENTECL SS6710	Wound	Quinolone S					
ENTECL SS8167	NBT:SS8167ENTECL	ENTECL SS8167	Wound	Quinolone S					
ENTECL SS8773	NBT:SS8773ENTECL	ENTECL SS8773	Wound	Quinolone S					
ENTECL SS9281	NBT:SS9281ENTECL	ENTECL SS9281	Wound	Quinolone S					
ENTECL SS9338	NBT:SS9338ENTECL	ENTECL SS9338	Wound	Quinolone S					
ENTELU 75895	NBT:75895ENTELU	ENTELU 75895	Blood	N/S					
ENTELU 75936	NBT:75936ENTELU	ENTELU 75936	Blood	N/S					
ENTEXI 73135	NBT:73135ENTEXI	ENTEXI 73135	Blood	N/S					
ENTEXI 77018	NBT:77018ENTEXI	ENTEXI 77018	Tip	N/S					
ENTEXI 80754	NBT:80754ENTEXI	ENTEXI 80754	Blood	N/S					
ENTEXI 85271	NBT:85271ENTEXI	ENTEXI 85271	Blood	ESBL					
ENTEXI 89663	NBT:89663ENTEXI	ENTEXI 89663	Blood	Quinolone S					
ENTEXI 91980	NBT:91980ENTEXI	ENTEXI 91980	Blood	CARBR					
ENTEXI 92010	NBT:92010ENTEXI	ENTEXI 92010	Blood	CARBR					
ENTEXI 92015	NBT:92015ENTEXI	ENTEXI 92015	Blood	CARBR					
ENTEXI SS11645	NBT:SS11645ENTEXI	ENTEXI SS11645	Wound	Quinolone S					
ENTEXI SS12051	NBT:SS12051ENTEXI	ENTEXI SS12051	Wound	Quinolone S					
ENTFA 12697									
ENTFA DSM 2570	ATCC:29212	Enterococcus faecalis (Andrewes and Horder) Schleifer and Kilpper-Balz			DSM:2570				
ESCCO 25404									
ESCCO 25922									
ESCCO 47879									
ESCCO 72038									
ESCCO 74224									
ESCCO 74226	NBT:74226ESCCO	ESCCO 74226	Fluid	N/S MDR					
ESCCO 74237	NBT:74237ESCCO	ESCCO 74237	Fluid	N/S MDR					
ESCCO 74264	NBT:74264ESCCO	ESCCO 74264	Urine	CARBR					
ESCCO 74491	NBT:74491ESCCO	ESCCO 74491	Sputum	N/S MDR					
ESCCO 74492	NBT:74492ESCCO	ESCCO 74492	Sputum	N/S MDR					
ESCCO 74493	NBT:74493ESCCO	ESCCO 74493	Sputum	N/S MDR					
ESCCO 74494	NBT:74494ESCCO	ESCCO 74494	Blood	N/S MDR					
ESCCO 74495	NBT:74495ESCCO	ESCCO 74495	Urine	N/S MDR					
ESCCO 74496	NBT:74496ESCCO	ESCCO 74496	Urine	N/S MDR					
ESCCO 74497	NBT:74497ESCCO	ESCCO 74497	Blood	N/S MDR					
ESCCO 74498	NBT:74498ESCCO	ESCCO 74498	Urine	N/S MDR					
ESCCO 74499	NBT:74499ESCCO	ESCCO 74499	Urine	N/S MDR					
ESCCO 74500	NBT:74500ESCCO	ESCCO 74500	Urine	N/S MDR					
ESCCO 74651	NBT:74651ESCCO	ESCCO 74651	Urine	N/S MDR					
ESCCO 74652	NBT:74652ESCCO	ESCCO 74652	Urine	N/S MDR					
ESCCO 74653	NBT:74653ESCCO	ESCCO 74653	Urine	N/S MDR					
ESCCO 74654	NBT:74654ESCCO	ESCCO 74654	Urine	N/S MDR					
ESCCO 74655	NBT:74655ESCCO	ESCCO 74655	Urine	N/S MDR					
ESCCO 74656	NBT:74656ESCCO	ESCCO 74656	Urine	N/S MDR					
ESCCO 74657	NBT:74657ESCCO	ESCCO 74657	Urine	N/S MDR					
ESCCO 74658	NBT:74658ESCCO	ESCCO 74658	Urine	N/S MDR					
ESCCO 74659	NBT:74659ESCCO	ESCCO 74659	Urine	N/S MDR					
ESCCO 74660	NBT:74660ESCCO	ESCCO 74660	Urine	N/S MDR					
ESCCO 74661	NBT:74661ESCCO	ESCCO 74661	Blood	N/S MDR					
ESCCO 74662	NBT:74662ESCCO	ESCCO 74662	Pus	N/S MDR					
ESCCO 74663	NBT:74663ESCCO	ESCCO 74663	Pus	N/S MDR					
ESCCO 74664	NBT:74664ESCCO	ESCCO 74664	Urine	N/S MDR					
ESCCO 74665	NBT:74665ESCCO	ESCCO 74665	Urine	N/S MDR					
ESCCO 74666	NBT:74666ESCCO	ESCCO 74666	Urine	CARBR					
ESCCO 74667	NBT:74667ESCCO	ESCCO 74667	Urine	CARBR					
ESCCO 74668	NBT:74668ESCCO	ESCCO 74668	Blood	CARBR					
ESCCO 74669	NBT:74669ESCCO	ESCCO 74669	Blood	N/S MDR					
ESCCO 74670	NBT:74670ESCCO	ESCCO 74670	Sputum	CARBR					
ESCCO 76030									
ESCCO 76093									
ESCCO 76094									
ESCCO 76098									
ESCCO 79092									
ESCCO 86389	NBT:86389ESCCO	ESCCO 86389	Blood	R Quinolone					
ESCCO 86425	NBT:86425ESCCO	ESCCO 86425	Blood	R Quinolone					
ESCCO 86520	NBT:86520ESCCO	ESCCO 86520	Blood	R Quinolone					
ESCCO 86645	NBT:86645ESCCO	ESCCO 86645	Blood	ESBL					
ESCCO 86743	NBT:86743ESCCO	ESCCO 86743	Blood	ESBL					
ESCCO 87179	NBT:87179ESCCO	ESCCO 87179	Blood	ESBL					
ESCCO 87253	NBT:87253ESCCO	ESCCO 87253	Blood	N/S MDR					
ESCCO 87256	NBT:87256ESCCO	ESCCO 87256	Blood	R Quinolone					
ESCCO 87280	NBT:87280ESCCO	ESCCO 87280	Blood	ESBL					
ESCCO 87300	NBT:87300ESCCO	ESCCO 87300	Blood	ESBL					
ESCCO 87418	NBT:87418ESCCO	ESCCO 87418	Blood	R Quinolone					
ESCCO 87556	NBT:87556ESCCO	ESCCO 87556	Blood	N/S MDR					
ESCCO 87592	NBT:87592ESCCO	ESCCO 87592	Blood	ESBL					
ESCCO 87647	NBT:87647ESCCO	ESCCO 87647	Blood	ESBL					
ESCCO 87692	NBT:87692ESCCO	ESCCO 87692	Blood	R Quinolone					
ESCCO 87809	NBT:87809ESCCO	ESCCO 87809	Blood	ESBL					
ESCCO 87810	NBT:87810ESCCO	ESCCO 87810	Blood	ESBL					
ESCCO 87826	NBT:87826ESCCO	ESCCO 87826	Blood	R Quinolone					
ESCCO 87831	NBT:87831ESCCO	ESCCO 87831	Blood	ESBL					
ESCCO 87859	NBT:87859ESCCO	ESCCO 87859	Blood	R Quinolone					
ESCCO 87888	NBT:87888ESCCO	ESCCO 87888	Blood	R Quinolone					
ESCCO 87965	NBT:87965ESCCO	ESCCO 87965	Blood	R Quinolone					
ESCCO 88200	NBT:88200ESCCO	ESCCO 88200	Blood	ESBL					
ESCCO 88241	NBT:88241ESCCO	ESCCO 88241	Blood	ESBL					
ESCCO 88244	NBT:88244ESCCO	ESCCO 88244	Blood	R Quinolone					
ESCCO 88265	NBT:88265ESCCO	ESCCO 88265	Blood	R Quinolone					
ESCCO 88295	NBT:88295ESCCO	ESCCO 88295	Blood	R Quinolone					
ESCCO 88448	NBT:88448ESCCO	ESCCO 88448	Blood	Quinolone S					
ESCCO 88497	NBT:88497ESCCO	ESCCO 88497	Blood	R Quinolone					
ESCCO 88649	NBT:88649ESCCO	ESCCO 88649	Blood	R Quinolone					
ESCCO 88672	NBT:88672ESCCO	ESCCO 88672	Blood	ESBL					
ESCCO 88674	NBT:88674ESCCO	ESCCO 88674	Blood	Quinolone S					
ESCCO 88720	NBT:88720ESCCO	ESCCO 88720	Blood	R Quinolone					
ESCCO 88755	NBT:88755ESCCO	ESCCO 88755	Blood	Quinolone S					
ESCCO 88765	NBT:88765ESCCO	ESCCO 88765	Blood	ESBL					
ESCCO 88864	NBT:88864ESCCO	ESCCO 88864	Blood	Quinolone S					
ESCCO 88865	NBT:88865ESCCO	ESCCO 88865	Blood	Quinolone S					
ESCCO 88959	NBT:88959ESCCO	ESCCO 88959	Blood	R Quinolone					
ESCCO 88960	NBT:88960ESCCO	ESCCO 88960	Blood	R Quinolone					
ESCCO 88987	NBT:88987ESCCO	ESCCO 88987	Blood	R Quinolone					
ESCCO 89009	NBT:89009ESCCO	ESCCO 89009	Blood	R Quinolone					
ESCCO 89011	NBT:89011ESCCO	ESCCO 89011	Blood	ESBL					
ESCCO 89031	NBT:89031ESCCO	ESCCO 89031	Blood	Quinolone S					
ESCCO 89142	NBT:89142ESCCO	ESCCO 89142	Blood	Quinolone S					
ESCCO 89224	NBT:89224ESCCO	ESCCO 89224	Blood	ESBL					
ESCCO 89252	NBT:89252ESCCO	ESCCO 89252	Blood	Quinolone S					
ESCCO 89301	NBT:89301ESCCO	ESCCO 89301	Blood	Quinolone S					
ESCCO 89320	NBT:89320ESCCO	ESCCO 89320	Blood	Quinolone S					
ESCCO 89334	NBT:89334ESCCO	ESCCO 89334	Blood	ESBL					
ESCCO 89390	NBT:89390ESCCO	ESCCO 89390	Blood	ESBL					
ESCCO 89429	NBT:89429ESCCO	ESCCO 89429	Blood	Quinolone S					
ESCCO 89552	NBT:89552ESCCO	ESCCO 89552	Blood	ESBL					
ESCCO 89648	NBT:89648ESCCO	ESCCO 89648	Blood	Quinolone S					
ESCCO 89671	NBT:89671ESCCO	ESCCO 89671	Blood	Quinolone S					
ESCCO 89678	NBT:89678ESCCO	ESCCO 89678	Blood	Quinolone S					
ESCCO 89680	NBT:89680ESCCO	ESCCO 89680	Blood	Quinolone S					
ESCCO 89686	NBT:89686ESCCO	ESCCO 89686	Blood	Quinolone S					
ESCCO 89701	NBT:89701ESCCO	ESCCO 89701	Blood	Quinolone S					
ESCCO 89707	NBT:89707ESCCO	ESCCO 89707	Blood	Quinolone S					
ESCCO 91977	NBT:91977ESCCO	ESCCO 91977	Blood	CARBR					
ESCCO 91992	NBT:91992ESCCO	ESCCO 91992	Blood	CARBR					
ESCCO 91995	NBT:91995ESCCO	ESCCO 91995	Blood	CARBR					
ESCCO 91998	NBT:91998ESCCO	ESCCO 91998	Blood	CARBR					
ESCCO 92018	NBT:92018ESCCO	ESCCO 92018	Blood	CARBR					
ESCCO CGSC10000									
ESCCO CGSC10001									
ESCCO CGSC12039									
ESCCO CGSC6693									
ESCCO CGSC6694									
ESCCO CGSC8169									
ESCCO CGSC8302									
ESCCO CGSC8303									
ESCCO CGSC8305									
ESCCO CGSC8758									
ESCCO D22/CGSC5163									
ESCCO ML-35p									
ESCCO ΔTolC									
KLEAE 80631									
KLEOX 79245	NBT:79245KLEOX	KLEOX 79245	Plueral fluid	Quinolone S					
KLEOX 81422	NBT:81422KLEOX	KLEOX 81422	Tissue	Quinolone S					
KLEOX 82917	NBT:82917KLEOX	KLEOX 82917	Blood	R Quinolone					
KLEOX 88760	NBT:88760KLEOX	KLEOX 88760	Blood	Quinolone S					
KLEOX 92007	NBT:92007KLEOX	KLEOX 92007	Blood	CARBR					
KLEPN 42422	NBT:42422KLEPN	KLEPN 42422	Blood	CARBR					
KLEPN 42837									
KLEPN 43816									
KLEPN 46311	NBT:46311KLEPN	KLEPN 46311	Blood	CARBR					
KLEPN 46959									
KLEPN 47871	NBT:47871KLEPN	KLEPN 47871	Blood	CARBR					
KLEPN 47925									
KLEPN 47935									
KLEPN 69263									
KLEPN 69282									
KLEPN 72040	NBT:72040KLEPN	KLEPN 72040	Sputum	CARBR					
KLEPN 72041	NBT:72041KLEPN	KLEPN 72041	Sputum	CARBR					
KLEPN 72204	NBT:72204KLEPN	KLEPN 72204	Fluid	R Quinolone					
KLEPN 72487	NBT:72487KLEPN	KLEPN 72487	Blood	N/S					
KLEPN 74010	NBT:74010KLEPN	KLEPN 74010	Blood	ESBL					
KLEPN 74257	NBT:74257KLEPN	KLEPN 74257	Blood	Quinolone S					
KLEPN 75051									
KLEPN 75774	NBT:75774KLEPN	KLEPN 75774	Blood	ESBL					
KLEPN 75801	NBT:75801KLEPN	KLEPN 75801	Fluid	R Quinolone					
KLEPN 75927	NBT:75927KLEPN	KLEPN 75927	Blood	CARBR					
KLEPN 76012	NBT:76012KLEPN	KLEPN 76012	Blood	CARBR					
KLEPN 76013									
KLEPN 76014	NBT:76014KLEPN	KLEPN 76014	Blood	CARBR					
KLEPN 76015	NBT:76015KLEPN	KLEPN 76015	Blood	CARBR					
KLEPN 76016	NBT:76016KLEPN	KLEPN 76016	Blood	CARBR					
KLEPN 76017	NBT:76017KLEPN	KLEPN 76017	Blood	CARBR					
